,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
SGOL,38.13,0.1303818019588264,30000.0,786,0.25,37.310001373291016,2025-10-28 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.97,0.0876473803735426,30000.0,545,0.25,54.2400016784668,2025-10-22 00:00:00-04:00,2026-03-18 07:56:46
VTI,335.42,0.0750336669305616,30000.0,89,0.25,326.6499938964844,2025-10-22 00:00:00-04:00,2026-03-18 07:56:46
SGOL,39.1701,0.1162153132586676,30000.0,765,0.25,37.310001373291016,2025-10-28 00:00:00-04:00,2026-03-18 07:56:46
VWO,55.1917,0.069228896440555,30000.0,543,0.25,53.93999862670898,2025-11-07 00:00:00-05:00,2026-03-18 07:56:46
VEA,61.2634,0.060820803518619,30000.0,489,0.25,59.95000076293945,2025-11-07 00:00:00-05:00,2026-03-18 07:56:46
SGOL,39.36,0.1196416866946242,30000.0,762,0.25,37.310001373291016,2025-10-28 00:00:00-04:00,2026-03-18 07:56:46
VWO,55.33,0.071147182987122,30000.0,542,0.25,53.93999862670898,2025-11-07 00:00:00-05:00,2026-03-18 07:56:46
VEA,61.73,0.0647698838293186,30000.0,485,0.25,59.95000076293945,2025-11-07 00:00:00-05:00,2026-03-18 07:56:46
SGOL,38.8581,0.1105131788796601,30000.0,772,0.25,37.45000076293945,2025-11-04 00:00:00-05:00,2026-03-18 07:56:46
VWO,54.7903,0.0636929583225068,30000.0,547,0.25,53.93999862670898,2025-11-07 00:00:00-05:00,2026-03-18 07:56:46
VEA,61.1472,0.0575460188934888,30000.0,490,0.25,59.95000076293945,2025-11-07 00:00:00-05:00,2026-03-18 07:56:46
SGOL,38.9999,0.1128656969593254,30000.0,769,0.25,37.79999923706055,2025-11-06 00:00:00-05:00,2026-03-18 07:56:46
VWO,53.3001,0.0424497691800635,30000.0,562,0.25,52.5,2025-11-21 00:00:00-05:00,2026-03-18 07:56:46
VEA,59.905,0.0415527381709827,30000.0,500,0.25,58.880001068115234,2025-11-20 00:00:00-05:00,2026-03-18 07:56:46
SGOL,40.04,0.1005366131578966,30000.0,749,0.25,38.77999877929688,2025-11-24 00:00:00-05:00,2026-03-18 07:56:46
BCI,23.16,0.0577774315735036,30000.0,1295,0.25,21.989999771118164,2025-11-25 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.04,0.05210456163923,30000.0,483,0.25,59.560001373291016,2025-11-24 00:00:00-05:00,2026-03-18 07:56:46
SGOL,40.32,0.1055772592177256,30000.0,744,0.25,39.18000030517578,2025-11-25 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.54,0.0582948744570239,30000.0,479,0.25,59.95000076293945,2025-11-25 00:00:00-05:00,2026-03-18 07:56:46
VTI,338.73,0.0512374374503818,30000.0,88,0.25,326.760009765625,2025-11-25 00:00:00-05:00,2026-03-18 07:56:46
SGOL,40.9756,0.1171100700549418,30000.0,732,0.25,39.68999862670898,2025-12-02 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.435,0.0570092940372743,30000.0,480,0.25,61.22999954223633,2025-12-01 00:00:00-05:00,2026-03-18 07:56:46
VTI,335.75,0.0443522867616356,30000.0,89,0.25,333.75,2025-12-01 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.79,0.1471852169966494,30000.0,701,0.25,39.79999923706055,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.526,0.07487445124426,30000.0,479,0.25,60.791479205377264,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
VTI,338.695,0.0544008134907659,30000.0,88,0.25,329.6948368331458,2025-12-17 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.7844,0.1470963167245607,30000.0,701,0.25,39.79999923706055,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.535,0.0750076078950691,30000.0,479,0.25,60.791479205377264,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
BCI,23.065,0.0546116736001999,30000.0,1300,0.25,22.225000381469727,2025-12-16 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.7899,0.1471836263792678,30000.0,701,0.25,39.79999923706055,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.5358,0.0709986679437141,30000.0,479,0.25,60.791479205377264,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
BCI,23.065,0.0546116736001999,30000.0,1300,0.25,22.225000381469727,2025-12-16 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.79,0.1471852169966494,30000.0,701,0.25,39.79999923706055,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.5372,0.0709687127001955,30000.0,479,0.25,60.791479205377264,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
BCI,23.065,0.0546116736001999,30000.0,1300,0.25,22.225000381469727,2025-12-16 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.7899,0.1471836263792678,30000.0,701,0.25,39.79999923706055,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.535,0.0710135253403059,30000.0,479,0.25,60.791479205377264,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
BCI,23.065,0.0546116736001999,30000.0,1300,0.25,22.225000381469727,2025-12-16 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.7984,0.1473193439199633,30000.0,700,0.25,39.79999923706055,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
VEA,62.54,0.0710739137538184,30000.0,479,0.25,60.791479205377264,2025-12-08 00:00:00-05:00,2026-03-18 07:56:46
BCI,23.065,0.0546116736001999,30000.0,1300,0.25,22.225000381469727,2025-12-16 00:00:00-05:00,2026-03-18 07:56:46
VTI,338.765,0.053509786443798,30000.0,88,0.25,329.6948368331458,2025-12-17 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.36,0.1115783290514827,30000.0,708,0.25,40.9900016784668,2025-12-31 00:00:00-05:00,2026-03-18 07:56:46
VEA,63.95,0.0729678051010449,30000.0,469,0.25,61.93999862670898,2025-12-22 00:00:00-05:00,2026-03-18 07:56:46
BCI,19.91,0.0712974877673884,30000.0,1506,0.25,19.474000930786133,2026-01-02 00:00:00-05:00,2026-03-18 07:56:46
VWO,55.29,0.0624290611656677,30000.0,542,0.25,53.27999877929688,2025-12-23 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.36,0.1115783290514827,30000.0,708,0.25,40.9900016784668,2025-12-31 00:00:00-05:00,2026-03-18 07:56:46
VEA,63.95,0.072967799301618,30000.0,469,0.25,61.93999862670898,2025-12-22 00:00:00-05:00,2026-03-18 07:56:46
BCI,19.91,0.0712974877673884,30000.0,1506,0.25,19.474000930786133,2026-01-02 00:00:00-05:00,2026-03-18 07:56:46
VWO,55.29,0.062429064040432,30000.0,542,0.25,53.27999877929688,2025-12-23 00:00:00-05:00,2026-03-18 07:56:46
SGOL,42.36,0.1115783290514827,30000.0,708,0.25,40.9900016784668,2025-12-31 00:00:00-05:00,2026-03-18 07:56:46
VEA,63.95,0.0729678063437792,30000.0,469,0.25,61.93999862670898,2025-12-22 00:00:00-05:00,2026-03-18 07:56:46
BCI,19.91,0.0712974877673884,30000.0,1506,0.25,19.474000930786133,2026-01-02 00:00:00-05:00,2026-03-18 07:56:46
VWO,55.29,0.0624290626030499,30000.0,542,0.25,53.27999877929688,2025-12-23 00:00:00-05:00,2026-03-18 07:56:46
SGOL,43.78,0.1347631466133958,30000.0,685,0.25,40.9900016784668,2025-12-31 00:00:00-05:00,2026-03-18 07:56:46
BCI,20.27,0.0847080846317163,30000.0,1480,0.25,19.474000930786133,2026-01-02 00:00:00-05:00,2026-03-18 07:56:46
VEA,64.92,0.0842250168441853,30000.0,462,0.25,62.43000030517578,2025-12-31 00:00:00-05:00,2026-03-18 07:56:46
VWO,56.29,0.0760009181158049,30000.0,532,0.25,53.43999862670898,2025-12-29 00:00:00-05:00,2026-03-18 07:56:46
SGOL,45.5814,0.1623048834013187,30000.0,658,0.25,42.130001068115234,2026-01-08 00:00:00-05:00,2026-03-18 07:56:46
BCI,20.875,0.1062035081549953,30000.0,1437,0.25,19.76000022888184,2026-01-08 00:00:00-05:00,2026-03-18 07:56:46
VEA,65.115,0.088840480144661,30000.0,460,0.25,63.68000030517578,2026-01-08 00:00:00-05:00,2026-03-18 07:56:46
VWO,56.2733,0.0758317568629437,30000.0,533,0.25,55.0099983215332,2026-01-08 00:00:00-05:00,2026-03-18 07:56:46
SGOL,48.485,0.2019896051626435,30000.0,618,0.25,43.2400016784668,2026-01-16 00:00:00-05:00,2026-03-18 07:56:46
BCI,21.685,0.1331046034334269,30000.0,1383,0.25,20.174999237060547,2026-01-16 00:00:00-05:00,2026-03-18 07:56:46
VEA,66.2601,0.1005867620659483,30000.0,452,0.25,64.16000366210938,2026-01-20 00:00:00-05:00,2026-03-18 07:56:46
VWO,57.055,0.0860473039541438,30000.0,525,0.25,55.47999954223633,2026-01-20 00:00:00-05:00,2026-03-18 07:56:46
SGOL,50.36,0.225130443402143,30000.0,595,0.25,43.2400016784668,2026-01-16 00:00:00-05:00,2026-03-18 07:56:46
BCI,21.975,0.1422537403543082,30000.0,1365,0.25,20.174999237060547,2026-01-16 00:00:00-05:00,2026-03-18 07:56:46
VEA,66.779,0.1036801638749063,30000.0,449,0.25,64.16000366210938,2026-01-20 00:00:00-05:00,2026-03-18 07:56:46
VWO,57.91,0.0969137275664368,30000.0,518,0.25,55.47999954223633,2026-01-20 00:00:00-05:00,2026-03-18 07:56:46
SGOL,46.6158,0.1589820961030384,30000.0,643,0.25,43.2400016784668,2026-01-16 00:00:00-05:00,2026-03-18 07:56:46
BCI,21.6299,0.1313385271622376,30000.0,1386,0.25,20.174999237060547,2026-01-16 00:00:00-05:00,2026-03-18 07:56:46
VEA,66.3499,0.0983351102933793,30000.0,452,0.25,64.16000366210938,2026-01-20 00:00:00-05:00,2026-03-18 07:56:46
