,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
XLC,115.55,0.0813527276203135,49500.0,428,0.33,112.80999755859376,2025-10-14 00:00:00-04:00,2026-03-18 07:58:47
XLK,301.96,0.1762675293073632,49500.0,163,0.33,278.239990234375,2025-10-14 00:00:00-04:00,2026-03-18 07:58:47
XLU,90.13,0.0900827000558714,49500.0,549,0.33,89.83000183105469,2025-10-23 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.58,0.0894691027141763,49500.0,424,0.33,112.80999755859376,2025-10-14 00:00:00-04:00,2026-03-18 07:58:47
XLK,300.39,0.1719622585031458,49500.0,164,0.33,281.0199890136719,2025-10-17 00:00:00-04:00,2026-03-18 07:58:47
XLU,89.72,0.0859245783909354,49500.0,551,0.33,89.69000244140625,2025-10-30 00:00:00-04:00,2026-03-18 07:58:47
XLC,114.32,0.0714687547883185,49500.0,432,0.33,113.52999877929688,2025-10-16 00:00:00-04:00,2026-03-18 07:58:47
XLK,300.68,0.1374100493166823,49500.0,164,0.33,281.8999938964844,2025-10-22 00:00:00-04:00,2026-03-18 07:58:47
XLU,89.1,0.0638735693044265,49500.0,555,0.33,88.62999725341797,2025-10-31 00:00:00-04:00,2026-03-18 07:58:47
XLY,239.93,0.0596442245847808,49500.0,206,0.33,233.72000122070312,2025-10-30 00:00:00-04:00,2026-03-18 07:58:47
XLK,294.84,0.1203244302200162,49500.0,167,0.33,281.6000061035156,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLU,89.55,0.0686297191134538,49500.0,552,0.33,88.0999984741211,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLV,146.895,0.0588310928402724,49500.0,336,0.33,142.6999969482422,2025-10-31 00:00:00-04:00,2026-03-18 07:58:47
XLK,295.53,0.1223782829033649,49500.0,167,0.33,281.6000061035156,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLU,89.66,0.069720444178278,49500.0,552,0.33,88.0999984741211,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLV,147.28,0.0612913749366054,49500.0,336,0.33,142.6999969482422,2025-10-31 00:00:00-04:00,2026-03-18 07:58:47
XLK,293.01,0.1148303957691645,49500.0,168,0.33,281.6000061035156,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLV,150.68,0.0824727482125249,49500.0,328,0.33,142.6999969482422,2025-10-31 00:00:00-04:00,2026-03-18 07:58:47
